code_intel_backend   | INFO:     172.66.0.243:35070 - "GET /api/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e/files?limit=100 HTTP/1.1" 200 OK
code_intel_frontend  | 162.159.140.245 - - [17/Feb/2026:14:38:14 +0000] "GET /repositories/2d456ce9-d770-4a6b-af49-73558f3f899e HTTP/1.1" 200 455 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "-"
code_intel_frontend  | 162.159.140.245 - - [17/Feb/2026:14:38:14 +0000] "GET /assets/index-CFKrHmHG.css HTTP/1.1" 304 0 "http://localhost:3000/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "-"
code_intel_frontend  | 162.159.140.245 - - [17/Feb/2026:14:38:14 +0000] "GET /assets/index-BGjIV5za.js HTTP/1.1" 304 0 "http://localhost:3000/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "-"
code_intel_backend   | INFO:     172.66.0.243:35070 - "GET /api/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e HTTP/1.1" 200 OK
code_intel_frontend  | 162.159.140.245 - - [17/Feb/2026:14:38:14 +0000] "GET /vite.svg HTTP/1.1" 304 0 "http://localhost:3000/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "-"
code_intel_backend   | INFO:     172.66.0.243:35070 - "GET /api/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e/files?limit=100 HTTP/1.1" 200 OK
code_intel_backend   | INFO:     172.66.0.243:60889 - "GET /api/recommendations/complex-functions?repository_id=2d456ce9-d770-4a6b-af49-73558f3f899e&min_complexity=20&limit=10 HTTP/1.1" 200 OK
code_intel_backend   | INFO:     172.66.0.243:35070 - "GET /api/recommendations/quality-dashboard?repository_id=2d456ce9-d770-4a6b-af49-73558f3f899e HTTP/1.1" 200 OK
code_intel_backend   | INFO:     172.66.0.243:60889 - "GET /api/security/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e/vulnerabilities HTTP/1.1" 200 OK
code_intel_backend   | INFO:     172.66.0.243:35070 - "GET /api/security/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e/security-stats HTTP/1.1" 200 OK
code_intel_backend   | INFO:     172.66.0.243:60889 - "GET /api/call-graph/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e/dependencies HTTP/1.1" 200 OK
code_intel_backend   | INFO:     172.66.0.243:35070 - "GET /api/call-graph/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e/call-graph HTTP/1.1" 200 OK
code_intel_backend   | INFO:     172.66.0.243:42288 - "GET /api/call-graph/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e/dead-code HTTP/1.1" 200 OK
code_intel_backend   | INFO:     172.66.0.243:62332 - "GET /api/call-graph/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e/circular-deps HTTP/1.1" 200 OK
code_intel_backend   | INFO:     172.66.0.243:42288 - "GET /api/security/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e/vulnerabilities HTTP/1.1" 200 OK
code_intel_backend   | INFO:     172.66.0.243:62332 - "GET /api/security/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e/security-stats HTTP/1.1" 200 OK
code_intel_backend   | INFO:     172.66.0.243:62332 - "POST /api/security/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e/scan HTTP/1.1" 200 OK
code_intel_backend   | ✅ Security scan complete: 0 vulnerabilities found
code_intel_backend   | INFO:     172.66.0.243:62332 - "GET /api/security/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e/security-stats HTTP/1.1" 200 OK
code_intel_backend   | INFO:     172.66.0.243:62332 - "GET /api/security/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e/vulnerabilities HTTP/1.1" 200 OK
code_intel_backend   | INFO:     172.66.0.243:47995 - "GET /api/call-graph/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e/circular-deps HTTP/1.1" 200 OK
code_intel_backend   | INFO:     172.66.0.243:63688 - "GET /api/call-graph/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e/dead-code HTTP/1.1" 200 OK
code_intel_backend   | INFO:     172.66.0.243:62332 - "GET /api/call-graph/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e/call-graph HTTP/1.1" 200 OK
code_intel_backend   | INFO:     172.66.0.243:42288 - "GET /api/call-graph/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e/dependencies HTTP/1.1" 200 OK
code_intel_backend   | INFO:     172.66.0.243:42708 - "POST /api/github/validate?url=https:%2F%2Fgithub.com%2Fmeyfa%2FCobolCraft.git HTTP/1.1" 200 OK
code_intel_backend   | 📦 GitHub import requested: meyfa/CobolCraft
code_intel_backend   |    Repository ID: 01a9ef39-168f-4af2-a1ed-1031f1ddb040
code_intel_backend   |    Branch: main
code_intel_backend   | INFO:     172.66.0.243:42708 - "POST /api/github/import HTTP/1.1" 200 OK
code_intel_celery    | [2026-02-17 14:38:37,719: INFO/MainProcess] Task tasks.import_github.import_github_repository[074eba40-c0dd-4692-9f03-b504e919e774] received
code_intel_celery    | [2026-02-17 14:38:37,746: WARNING/ForkPoolWorker-8] 🐙 Cloning GitHub repo: https://github.com/meyfa/CobolCraft.git
code_intel_celery    | [2026-02-17 14:38:37,746: WARNING/ForkPoolWorker-8]    Preferred Branch: main
code_intel_celery    | [2026-02-17 14:38:37,746: WARNING/ForkPoolWorker-8]    Repository ID: 01a9ef39-168f-4af2-a1ed-1031f1ddb040
code_intel_celery    | [2026-02-17 14:38:37,750: WARNING/ForkPoolWorker-8]    Owner: meyfa, Repo: CobolCraft
code_intel_celery    | [2026-02-17 14:38:37,751: WARNING/ForkPoolWorker-8]    📊 Fetching GitHub metadata...
code_intel_celery    | [2026-02-17 14:38:38,100: WARNING/ForkPoolWorker-8]    ✅ Metadata: 665 stars, Language: COBOL
code_intel_celery    | [2026-02-17 14:38:38,110: WARNING/ForkPoolWorker-8]    Clone directory: /tmp/github_meyfa_CobolCraft_u9ibpc6c
code_intel_celery    | [2026-02-17 14:38:38,110: WARNING/ForkPoolWorker-8]    Trying branch: main
code_intel_celery    | [2026-02-17 14:38:38,935: WARNING/ForkPoolWorker-8]    ✅ Successfully cloned branch: main
code_intel_celery    | [2026-02-17 14:38:38,935: WARNING/ForkPoolWorker-8]    ✅ Clone successful (branch: main)
code_intel_celery    | [2026-02-17 14:38:38,936: WARNING/ForkPoolWorker-8]    Removed .git directory
code_intel_celery    | [2026-02-17 14:38:38,936: WARNING/ForkPoolWorker-8]    Found 279 files
code_intel_celery    | [2026-02-17 14:38:38,937: WARNING/ForkPoolWorker-8]    Creating ZIP archive: /tmp/upload/01a9ef39-168f-4af2-a1ed-1031f1ddb040_github.zip
code_intel_celery    | [2026-02-17 14:38:38,960: WARNING/ForkPoolWorker-8]    ✅ ZIP created
code_intel_celery    | [2026-02-17 14:38:38,964: WARNING/ForkPoolWorker-8]    Cleaned up clone directory
code_intel_celery    | [2026-02-17 14:38:38,964: WARNING/ForkPoolWorker-8]    🚀 Triggering parse task...
code_intel_celery    | [2026-02-17 14:38:38,966: INFO/MainProcess] Task tasks.parse_repository.parse_repository_task[d9238b61-f7e9-422b-aa5e-efa031d8e049] received
code_intel_celery    | [2026-02-17 14:38:38,967: INFO/ForkPoolWorker-8] Task tasks.import_github.import_github_repository[074eba40-c0dd-4692-9f03-b504e919e774] succeeded in 1.2437644169999658s: {'repository_id': '01a9ef39-168f-4af2-a1ed-1031f1ddb040', 'github_url': 'https://github.com/meyfa/CobolCraft.git', 'branch': 'main', 'requested_branch': 'main', 'owner': 'meyfa', 'repo': 'CobolCraft', 'status': 'parsing', 'parse_task_id': 'd9238b61-f7e9-422b-aa5e-efa031d8e049', 'file_count': 279, 'stars': 665, 'language': 'COBOL'}
code_intel_celery    | [2026-02-17 14:38:38,989: WARNING/ForkPoolWorker-1] 📦 Processing: meyfa/CobolCraft (ID: 01a9ef39-168f-4af2-a1ed-1031f1ddb040)
code_intel_celery    | [2026-02-17 14:38:38,991: WARNING/ForkPoolWorker-1] 📂 Extracting ZIP to: /tmp/code_intel_01a9ef39-168f-4af2-a1ed-1031f1ddb040
code_intel_celery    | [2026-02-17 14:38:39,011: WARNING/ForkPoolWorker-1] ⚡ Found 1 C files
code_intel_celery    | [2026-02-17 14:38:39,011: WARNING/ForkPoolWorker-1] 📊 Found 206 COBOL files
code_intel_celery    | [2026-02-17 14:38:39,015: WARNING/ForkPoolWorker-1]   ✓ cpp/cobolcraft_util.h: 0 symbols
code_intel_celery    | [2026-02-17 14:38:39,016: WARNING/ForkPoolWorker-1] ⚠️  Tree-sitter COBOL parser not available, using regex-based parsing
code_intel_celery    | [2026-02-17 14:38:39,018: WARNING/ForkPoolWorker-1]   ✓ src/main.cob: 1 symbols
code_intel_celery    | [2026-02-17 14:38:39,018: WARNING/ForkPoolWorker-1]   ⚠️  Error processing src/main.cob: too many values to unpack (expected 2)
code_intel_celery    | [2026-02-17 14:38:39,018: WARNING/ForkPoolWorker-1] ⚠️  Tree-sitter COBOL parser not available, using regex-based parsing
code_intel_celery    | [2026-02-17 14:38:39,019: WARNING/ForkPoolWorker-1]   ✓ src/server-properties.cob: 35 symbols
code_intel_celery    | [2026-02-17 14:38:39,019: WARNING/ForkPoolWorker-1]   ⚠️  Error processing src/server-properties.cob: too many values to unpack (expected 2)
code_intel_celery    | [2026-02-17 14:38:39,019: WARNING/ForkPoolWorker-1] ⚠️  Tree-sitter COBOL parser not available, using regex-based parsing
